Tickers,Name,Asset Class
QLD,ProShares Ultra QQQ,Equity
SSO,ProShares Ultra S&P 500,Equity
UCO,ProShares Ultra Bloomberg Crude Oil,Commodity
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,Equity
UYG,ProShares Ultra Financials,Equity
ERX,Direxion Daily Energy Bull 2X Shares,Equity
ROM,ProShares Ultra Technology,Equity
NUGT,Direxion Daily Gold Miners Index Bull 2x Shares,Equity
DDM,ProShares Ultra Dow30,Equity
CWEB,Direxion Daily CSI China Internet Index Bull 2x Shares,Equity
AGQ,ProShares Ultra Silver,Commodity
BOIL,ProShares Ultra Bloomberg Natural Gas,Commodity
JNUG,Direxion Daily Junior Gold Miners Index Bull 2x Shares,Equity
UGL,ProShares Ultra Gold,Commodity
UWM,ProShares Ultra Russell2000,Equity
DIG,ProShares Ultra Oil & Gas,Equity
USD,ProShares Ultra Semiconductors,Equity
BRZU,Direxion Daily MSCI Brazil Bull 2X Shares,Equity
MVV,ProShares Ultra MidCap400,Equity
FBGX,UBS AG FI Enhanced Large Cap Growth ETN,Equity
FNGO,MicroSectors FANG+ Index 2X Leveraged ETNs,Equity
EUO,ProShares UltraShort Euro,Currency
RXL,ProShares Ultra Health Care,Equity
BIB,ProShares Ultra Nasdaq Biotechnology,Equity
URE,ProShares Ultra Real Estate,Real Estate
DGP,DB Gold Double Long Exchange Traded Notes,Commodity
CHAU,Direxion Daily CSI 300 China A Share Bull 2x Shares,Equity
SPUU,Direxion Daily S&P 500 Bull 2x Shares,Equity
YCS,ProShares UltraShort Yen,Currency
UBT,ProShares Ultra 20+ Year Treasury,Bond
UYM,ProShares Ultra Basic Materials,Equity
SMHB,ETRACS 2xMonthly Pay Leveraged US Small Cap High Dividend ETN Series B,Equity
SAA,ProShares Ultra SmallCap600,Equity
FIHD,UBS AG FI Enhanced Global High Yield ETN,Equity
EET,ProShares Ultra MSCI Emerging Markets,Equity
UPW,ProShares Ultra Utilities,Equity
UST,ProShares Ultra 7-10 Year Treasury,Bond
UXI,ProShares Ultra Industrials,Equity
ULE,ProShares Ultra Euro,Currency
PFFL,ETRACS 2xMonthly Pay Leveraged Preferred Stock Index ETN,Multi-Asset
UCC,ProShares Ultra Consumer Services,Equity
FIEE,UBS AG FI Enhanced Europe 50 ETN,Equity
YCL,ProShares Ultra Yen,Currency
XPP,ProShares Ultra FTSE China 50,Equity
UJB,ProShares Ultra High Yield,Bond
UGE,ProShares Ultra Consumer Goods,Equity
EFO,ProShares Ultra MSCI EAFE,Equity
EZJ,ProShares Ultra MSCI Japan,Equity
UBR,ProShares Ultra MSCI Brazil Capped,Equity
UPV,ProShares Ultra FTSE Europe,Equity
LTL,ProShares Ultra Telecommunications,Equity
